876B608,1,3
101A9AB4,2,3
806816A,2,3
1071X646,3,3
1071X646,3,3
114X6800,3,3
1071X646,3,3
100X78B6,3,3
87A8974,3,3
1071X7B7,3,3
917AXX9,3,3
107X7640,3,3
107X6989,3,3
10A70441,3,3
777416A,4,3
987AAXB,5,3
987AA7X,5,3
987AAB0,5,3
1141A880,6,3
19A9BBAX8,7,3
8766X0A,7,3
94A9940,7,3
107X71A7,7,3
10A74991,7,3
100B7909,7,3
9874984,8,3
114B0867,9,3
1004X480,10,3
10161144,11,3
87A9604,11,3
10877B07,12,3
10877B07,12,3
10161144,13,3
94AA98A,14,3
9B4B698,15,3
8471AX6,15,3
107X7948,15,3
10A71967,15,3
100B769X,15,3
107X077B,15,3
847B171,15,3
107X077B,15,3
8471AX6,15,3
917A019,16,3
9B41640,17,3
107X04A1,18,3
107X7B74,19,3
87A9A69,19,3
10A749X1,19,3
107X6884,19,3
987A061,19,3
1086BX7X,20,3
847X191,20,3
107X0619,21,3
8761B8X,21,3
86B4B04,21,3
100X7A6B,22,3
806676A,23,3
9B4B180,24,3
101A4AX9,25,3
8474914,26,3
114X74B7,26,3
917XXX6,26,3
87A89BX,26,3
987A1B1,26,3
100B8406,26,3
114X7B46,26,3
8644B6B,27,3
80641BB,28,3
876X880,29,3
A7480A,30,3
91B99,30,3
10170B14,31,3
777416A,32,3
876X880,33,3
80A7868,34,3
80A7868,35,3
80A7868,35,3
1016XBB4,36,3
101678A0,37,3
9X16X,38,3
946A4BA,39,3
94A10A0,40,3
8761B8X,41,3
107B08XA,41,3
101687BX,41,3
946B9B7,41,3
806844A,42,3
98XX4,43,3
10A74949,44,3
8470XA9,44,3
10A7BX97,44,3
987B1A7,44,3
114X186A,44,3
80A8008,44,3
98749X8,44,3
9BB698A,44,3
9BBA96B,44,3
876XB76,44,3
10A7A7A4,44,3
107X14A9,44,3
94A0441,44,3
9870BA0,44,3
9B4A6XB,44,3
114X09B4,44,3
11X7BXB4,44,3
100BX918,44,3
107X9A16,44,3
107X9A16,44,3
1071809X,44,3
847BB88,44,3
10B964,44,3
100BX46B,44,3
11X7BX48,44,3
10A7AXX9,44,3
11X7A9XX,44,3
10716A80,45,3
946AX11,46,3
101A70,47,3
114X9789,48,3
8776880,48,3
10A7A7A4,48,3
114X18B7,48,3
114X97X6,48,3
10A7X06A,48,3
10A7BX76,48,3
8470448,49,3
9468179,50,3
87714B4,51,3
876A8X0,52,3
9BB0797,52,3
877XBB7,52,3
101707AA,52,3
876X7A4,52,3
876X7A4,52,3
876X7A4,52,3
876BX9B,52,3
8470A81,52,3
10170X0X,52,3
876BA94,52,3
10716608,52,3
1016X978,52,3
876X14A,53,3
10164077,53,3
114B0BA6,54,3
100B7769,55,3
100B9148,56,3
876XA16,56,3
876X880,57,3
8068AA0,57,3
87A9604,58,3
64XB1B,59,3
9474780,60,3
9B4B614,61,3
987AAXB,62,3
100B876B,63,3
91A11,64,3
100X7A07,65,3
876XA16,65,3
946777B,66,3
10X1B819,66,3
876X880,67,3
876X880,67,3
876X880,67,3
1016A967,68,3
946781A,68,3
94A9A69,68,3
10877B07,69,3
806119B,70,3
987AAXB,71,3
9B446A7,72,3
9B446A7,72,3
100B84AA,73,3
10X1BBB6,74,3
11X7B1X9,75,3
917X177,75,3
107X09AA,76,3
1017A9A6,77,3
100BB149,77,3
87764XA,78,3
1016714B,79,3
108670A9,79,3
108670A9,79,3
987A194,80,3
9B446A0,80,3
876X14A,81,3
100B77X7,81,3
114X980B,82,3
107B08XA,82,3
10716X0X,82,3
87681A8,82,3
876X880,83,3
806X0BB,84,3
61680BB48,84,3
806X0BB,84,3
947B870,84,3
86X9B69,84,3
10040744,84,3
876ABXB,84,3
9BB0797,84,3
6168107BB,84,3
8771X7B,84,3
876A88B,84,3
9BB0797,84,3
100X6877,85,3
100X6877,85,3
806084B,86,3
806018A,86,3
6B704X010A,86,3
94A96AB,87,3
946B041,88,3
94A9800,89,3
9467661,89,3
9B44B98,90,3
807BBAX,91,3
11419611,92,3
4X7X1,93,3
100BB961,94,3
100BB961,95,3
100BB961,96,3
100BB961,97,3
9B4A189,98,3
9BB1B4B,99,3
9BB1B4B,99,3
87A979B,99,3
987AAXB,99,3
987AAXB,99,3
847X191,99,3
847X191,99,3
987AAXB,99,3
100BX8X7,99,3
9BB1B4B,99,3
987AAXB,99,3
9874984,100,3
98717B6,100,3
1016686B,101,3
101A87XX,102,3
1071X9A4,103,3
100B8X66,103,3
98XX4,103,3
877B84X,104,3
987A019,105,3
114X7640,106,3
114X71A0,106,3
987496B,106,3
107X71XX,106,3
100B8X66,106,3
100B77X7,106,3
987A684,106,3
987A684,106,3
11X7AX99,106,3
1071AA44,106,3
10A74970,106,3
107X746A,106,3
87677B8,107,3
9B4XB1X,108,3
987AAXB,109,3
107B1X66,110,3
94A07X8,111,3
100B981B,112,3
987A01X,112,3
876BA7B,113,3
876BA7B,113,3
876X180,113,3
876B111,113,3
946X9XX,113,3
80614X4,113,3
100X68BA,113,3
8776A7X,113,3
876X866,113,3
876XXB6,113,3
8776X8A,113,3
876B118,113,3
71X98A,113,3
876B818,113,3
X80X8,114,3
X80X8,114,3
987BX6X,114,3
107X116A,115,3
10A7A17B,116,3
107X07B8,117,3
100B1168,117,3
100B1A04,118,3
1086978X,119,3
10166191,119,3
1086A01A,119,3
108660XB,119,3
94710A6,119,3
947090X,119,3
10166044,119,3
1016A967,119,3
107X70A9,120,3
10716776,121,3
10716776,121,3
806X488,121,3
806XX9X,121,3
9466AX7,122,3
8779680,122,3
806B601,122,3
100BB86B,123,3
879918X,124,3
9BB1189,125,3
100B768A,125,3
9BB1189,125,3
10716671,126,3
100X7A4X,126,3
100X7A4X,126,3
100X746A,126,3
94617BX,127,3
987AAXB,128,3
10867BXA,129,3
108686B4,129,3
94671A7,129,3
877671X,129,3
1016914A,129,3
946866X,129,3
